source,destination
1,31
2,48
2,57
0,5
8,137
0,14
6,112
5,92
5,101
11,151
1,24
7,129
1,33
2,41
3,70
2,50
2,59
0,7
6,105
8,139
0,16
4,87
12,155
6,114
5,94
5,103
7,122
1,26
7,131
1,35
2,43
3,72
2,52
0,0
0,9
6,107
4,89
9,140
12,157
6,116
5,96
7,124
1,28
7,133
1,37
3,65
2,45
3,74
2,54
0,2
4,82
6,109
9,142
12,159
6,118
1,21
7,126
1,30
1,39
3,67
2,47
2,56
4,75
4,84
6,111
9,144
1,23
7,128
10,145
1,32
11,153
3,60
2,40
3,69
2,49
4,77
4,86
6,113
7,121
0,18
1,25
7,130
10,147
3,62
2,42
3,71
4,79
6,106
4,88
12,156
6,115
0,11
7,123
5,98
7,132
10,149
3,64
3,73
4,81
6,108
12,158
0,4
8,136
0,13
1,20
5,91
7,125
5,100
11,150
3,66
4,83
6,110
2,58
0,6
8,138
0,15
5,93
7,127
5,102
11,152
1,34
3,68
4,76
2,51
4,85
0,8
7,120
0,17
5,95
10,146
5,104
11,154
1,27
3,61
1,36
2,44
4,78
2,53
0,1
0,10
0,19
9,141
6,117
5,97
10,148
1,29
3,63
7,134
1,38
2,46
4,80
2,55
0,3
8,135
0,12
5,90
9,143
6,119
5,99
1,22
