source,destination
0,5
9,72
12,89
3,40
6,57
1,15
7,65
2,32
8,66
0,7
9,74
12,91
14,97
6,59
1,17
2,25
13,92
2,34
0,0
8,68
0,9
9,76
14,99
7,60
4,43
1,19
2,27
13,94
5,53
0,2
3,37
6,54
14,101
1,12
4,45
7,62
10,79
1,21
2,29
12,88
6,56
1,14
4,47
7,64
10,81
1,23
2,31
5,48
9,73
12,90
6,58
1,16
11,82
2,24
2,33
5,50
8,70
0,11
1,18
11,84
2,26
2,35
5,52
13,96
0,4
7,61
10,78
1,20
3,39
11,86
2,28
4,46
12,87
0,6
1,13
10,80
3,41
2,30
8,67
0,8
9,75
14,98
4,42
5,49
13,93
0,1
8,69
0,10
3,36
11,83
14,100
4,44
5,51
13,95
0,3
8,71
10,77
3,38
6,55
11,85
7,63
1,22
