index,is_init,is_goal
0,True,False
1,False,True
2,False,False
3,True,False
4,False,True
5,False,False
6,True,False
7,False,True
8,False,False
9,True,False
10,False,True
11,False,False
12,True,False
13,False,True
14,False,False
15,True,False
16,False,True
17,False,False
18,True,False
19,False,True
20,False,False
21,True,False
22,False,True
23,False,False
24,True,False
25,False,True
26,False,False
27,True,False
28,False,True
29,False,False
30,True,False
31,False,True
32,False,False
33,True,False
34,False,True
35,False,False
36,True,False
37,False,True
38,False,False
39,True,False
40,False,True
41,False,False
42,True,False
43,False,True
44,False,False
45,True,False
46,False,True
47,False,False
48,True,False
49,False,True
50,False,False
51,True,False
52,False,True
53,False,False
54,True,False
55,False,True
56,False,False
57,True,False
58,False,False
59,False,False
60,False,False
61,False,False
62,False,False
63,False,False
64,False,False
65,False,False
66,False,False
67,False,False
68,False,False
69,False,False
70,False,False
71,False,False
72,False,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,True,False
79,False,False
80,False,False
81,False,False
82,False,False
83,False,False
84,False,False
85,False,False
86,False,False
87,False,False
88,False,False
89,False,False
90,False,False
91,False,False
92,False,False
93,False,False
94,False,False
95,False,False
96,False,False
97,False,False
98,True,False
