index,is_relaxed,is_in_good_operators
0,False,False
1,False,False
2,False,True
3,True,True
4,False,True
5,False,False
6,False,False
7,True,True
8,False,True
9,False,False
10,False,True
11,False,False
12,False,False
13,False,False
14,False,False
15,False,False
16,False,False
17,False,False
18,False,False
19,False,False
20,False,False
21,False,False
22,False,False
23,False,True
24,False,False
25,False,True
26,False,True
27,False,False
28,False,False
29,True,True
30,False,False
31,False,False
32,False,False
33,False,True
34,False,False
35,True,True
36,False,False
37,True,True
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,False,False
47,False,False
48,False,False
49,False,False
50,True,True
51,False,False
52,False,False
53,False,True
54,False,False
55,False,True
56,True,True
57,False,False
58,False,False
59,False,False
60,False,False
61,False,False
62,False,False
63,False,True
64,True,True
65,False,False
66,False,False
67,False,False
68,False,False
69,False,False
70,True,True
71,False,False
