source,destination
7,72
13,106
5,65
0,5
8,82
3,40
1,15
6,66
4,48
14,113
7,74
10,91
2,32
13,108
0,7
3,33
15,117
3,42
1,17
6,68
4,50
14,115
2,25
7,76
10,93
5,60
0,0
0,9
3,35
9,85
12,102
15,119
6,70
1,19
4,52
2,27
10,95
5,62
0,2
3,37
12,104
1,12
4,45
1,21
4,54
2,29
11,96
5,55
5,64
1,14
4,47
2,22
7,73
10,90
2,31
11,98
5,57
13,110
15,116
1,16
7,75
2,24
10,92
11,100
5,59
12,101
15,118
8,79
1,18
9,87
2,26
10,94
5,61
0,4
15,120
1,11
8,81
1,20
3,39
9,89
12,105
2,28
14,112
5,63
13,107
0,6
1,13
8,83
3,41
6,67
2,30
4,49
11,97
14,114
5,56
13,109
0,8
3,34
9,84
3,43
2,23
6,69
4,51
11,99
5,58
7,77
0,1
0,10
8,78
3,36
9,86
12,103
4,44
6,71
4,53
0,3
8,80
3,38
9,88
4,46
14,111
