source,destination
1,31
6,82
4,64
6,91
2,39
11,115
5,74
0,5
0,14
3,49
1,24
1,33
6,84
4,66
8,103
2,41
10,109
11,117
5,76
0,7
0,16
1,17
1,26
4,59
2,34
2,43
7,94
10,111
0,0
5,78
0,9
1,19
1,28
4,61
2,36
9,106
2,45
10,113
5,71
0,2
5,80
1,21
1,30
8,100
2,38
9,108
11,114
6,93
5,73
1,23
1,32
3,51
8,102
2,40
6,86
4,68
11,116
5,75
1,22
1,25
3,53
2,42
6,88
11,118
5,77
7,96
0,11
1,18
3,46
3,55
2,35
9,105
4,63
6,90
5,70
7,98
0,4
0,13
1,20
3,48
8,99
3,57
2,37
9,107
6,83
4,65
6,92
0,6
0,15
3,50
8,101
4,58
6,85
4,67
10,110
0,8
3,52
1,27
4,60
6,87
4,69
2,44
7,95
10,112
0,1
5,79
0,10
3,54
9,104
1,29
4,62
6,89
7,97
5,72
0,3
5,81
0,12
3,47
3,56
