source,destination
0,5
8,73
9,81
12,98
3,40
14,104
1,15
4,48
2,32
13,99
0,7
8,75
9,83
3,42
14,106
1,17
4,50
7,67
2,25
2,34
13,101
0,0
0,9
15,110
3,44
6,61
14,108
1,19
7,69
4,52
10,86
2,27
0,2
9,78
12,95
15,112
3,37
1,12
6,63
1,21
7,71
10,88
2,29
5,55
9,80
12,97
1,14
6,65
1,23
11,89
2,31
5,57
8,77
1,16
7,66
2,24
11,91
2,33
5,59
13,103
15,109
0,11
1,18
7,68
10,85
3,46
2,26
11,93
2,35
12,94
15,111
0,4
8,72
1,20
3,39
10,87
2,28
5,54
15,113
0,6
8,74
1,13
9,82
3,41
14,105
2,30
4,49
5,56
13,100
0,8
8,76
3,47
3,43
6,60
11,90
14,107
4,51
5,58
13,102
0,1
0,10
3,36
10,84
3,45
6,62
11,92
4,53
7,70
0,3
9,79
12,96
3,38
6,64
1,22
