index,is_relaxed,is_in_good_operators
0,False,False
1,False,True
2,False,True
3,False,False
4,False,True
5,False,True
6,False,True
7,False,True
8,False,False
9,False,False
10,False,True
11,False,True
12,True,True
13,False,True
14,False,True
15,False,True
16,False,True
17,False,False
18,False,False
19,False,False
20,True,True
21,False,False
22,False,False
23,False,False
24,False,False
25,False,False
26,False,False
27,False,False
28,False,False
29,True,True
30,False,False
31,False,False
32,False,True
33,False,False
34,False,False
35,False,False
36,False,False
37,False,False
38,False,False
39,False,False
40,True,True
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,False,False
47,False,False
48,False,False
49,False,False
50,False,False
51,False,True
52,False,True
53,False,False
54,False,False
55,True,True
56,False,True
57,False,False
58,False,False
59,False,True
60,False,True
61,False,False
62,False,True
63,False,True
64,False,True
65,True,True
66,True,True
67,False,True
68,False,False
69,False,False
70,False,False
71,False,False
72,False,True
73,False,False
74,False,False
75,False,True
76,False,False
77,False,False
78,False,False
79,False,False
80,False,False
81,False,False
82,False,False
83,False,False
84,False,False
85,False,False
86,False,False
87,False,False
88,False,False
89,False,False
90,False,False
91,False,False
92,False,False
93,False,False
94,False,False
95,False,False
96,False,False
97,True,True
98,False,False
99,False,False
100,False,False
101,False,False
102,False,False
103,True,True
104,False,True
105,False,False
106,False,False
107,False,False
108,False,False
109,True,True
110,False,False
111,False,False
112,False,False
113,False,False
114,True,True
115,False,False
116,False,False
117,False,False
118,False,False
119,False,False
120,False,False
121,False,False
122,False,False
123,False,True
124,False,True
125,False,False
126,True,True
127,False,False
128,False,True
129,False,False
130,False,False
131,False,True
132,False,True
133,True,True
134,False,True
135,False,True
136,False,True
137,False,False
138,False,False
139,False,True
140,True,True
141,False,False
142,False,False
143,False,False
144,False,True
145,False,False
146,False,False
147,True,True
148,False,False
149,False,False
150,False,False
151,False,False
152,False,False
153,False,False
154,False,False
155,False,False
156,False,False
157,False,False
158,False,False
159,False,False
160,False,False
161,False,False
