index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,True,False,True
3,False,False,False
4,True,False,True
5,False,False,False
6,False,False,True
7,True,False,False
8,True,False,True
9,False,False,False
10,False,True,True
11,True,False,False
12,True,False,True
13,False,False,False
14,False,False,True
15,True,False,False
16,False,False,True
17,True,False,False
18,False,False,True
19,False,False,False
20,False,True,False
21,False,False,False
22,False,False,False
23,False,False,False
24,False,False,False
25,False,False,False
26,True,False,True
27,False,False,True
28,False,False,False
29,False,False,False
30,False,False,False
31,False,False,False
32,False,False,False
33,False,False,True
34,False,True,False
35,True,False,False
36,False,False,True
37,False,False,False
38,False,False,False
39,False,False,False
40,False,False,False
41,False,False,False
42,True,False,False
43,False,False,False
44,False,True,True
45,False,False,True
46,False,False,False
47,False,True,False
48,False,False,True
49,False,False,False
50,False,False,False
51,False,False,False
52,False,False,False
53,True,False,False
54,False,False,True
55,False,False,False
56,False,False,False
57,False,False,False
58,False,False,False
59,False,True,True
60,False,False,False
61,True,False,False
62,False,False,False
63,False,False,True
64,False,False,False
65,False,False,False
66,True,False,False
67,False,False,False
68,False,False,False
69,False,True,False
70,False,False,False
71,False,False,True
72,False,False,True
73,False,False,False
74,False,False,False
75,False,False,False
76,False,True,False
77,True,False,False
78,False,False,False
79,False,False,True
80,False,False,False
81,False,False,True
82,False,True,False
83,False,False,False
84,False,False,False
85,False,False,False
86,False,False,False
87,False,False,False
88,False,False,False
89,True,False,False
