index,is_relaxed,is_in_good_operators
0,True,True
1,True,True
2,False,False
3,True,True
4,False,True
5,False,True
6,False,True
7,True,True
8,False,False
9,False,False
10,True,True
11,False,False
12,False,True
13,False,True
14,False,True
15,False,False
16,False,False
17,True,True
18,False,False
19,False,False
20,False,False
21,False,False
22,False,False
23,False,False
24,False,False
25,False,False
26,False,False
27,False,False
28,False,False
29,True,True
30,False,False
31,False,False
32,False,False
33,False,False
34,False,False
35,False,False
36,False,False
37,False,False
38,True,True
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,False,False
47,False,False
48,True,True
49,False,False
50,False,False
51,False,False
52,False,False
53,False,False
54,False,False
55,False,False
56,True,True
57,False,False
58,False,False
59,False,False
60,False,False
61,True,True
62,False,False
63,False,True
64,False,False
65,True,True
66,False,False
67,False,False
68,False,False
69,False,False
70,False,False
71,False,False
72,False,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,False,False
79,False,False
80,False,False
81,False,False
82,False,False
83,False,False
84,False,False
85,False,False
86,False,False
87,False,False
88,False,False
89,False,False
90,False,False
91,True,True
92,False,False
93,False,False
94,False,False
95,False,False
96,False,False
97,False,False
98,False,False
99,False,False
100,False,False
101,False,False
102,False,False
103,False,False
104,False,False
105,False,False
106,True,True
107,False,False
108,False,False
109,True,True
110,False,False
111,False,False
112,False,False
113,False,False
114,False,False
115,False,False
116,False,False
117,False,False
118,True,True
119,False,True
120,False,False
121,False,False
122,False,False
123,False,False
124,False,False
125,False,False
126,False,False
127,False,False
