index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,False,True,False
3,True,False,False
4,True,False,True
5,False,False,False
6,False,True,True
7,True,False,True
8,False,False,False
9,True,False,False
10,False,False,True
11,False,True,False
12,True,False,True
13,False,False,False
14,False,False,False
15,False,False,False
16,True,False,False
17,False,False,False
18,False,False,False
19,False,True,False
20,False,False,True
21,False,False,False
22,False,False,False
23,True,True,False
24,False,False,False
25,False,False,False
26,False,False,False
27,False,False,False
28,False,False,False
29,True,True,False
