index,is_relaxed,is_in_good_operators
0,False,False
1,False,False
2,False,False
3,False,False
4,False,False
5,True,True
6,False,False
7,False,False
8,True,True
9,False,False
10,False,False
11,False,False
12,False,False
13,False,False
14,False,False
15,False,False
16,False,False
17,False,False
18,False,False
19,False,False
20,False,False
21,True,True
22,False,False
23,True,True
24,False,False
25,False,False
26,False,False
27,False,False
28,False,False
29,False,False
30,False,False
31,False,False
