index,is_relaxed,is_in_good_operators
0,False,False
1,False,True
2,True,True
3,False,False
4,False,True
5,True,True
6,False,True
7,False,False
8,False,False
9,False,True
10,False,False
11,False,False
12,False,False
13,False,False
14,False,True
15,True,True
16,False,False
17,False,False
18,False,False
19,False,False
20,False,False
21,True,True
22,False,False
23,False,False
24,False,False
25,False,False
26,False,True
27,False,False
28,False,True
29,True,True
30,False,False
31,False,False
32,False,False
33,True,True
34,False,True
35,False,False
36,True,True
37,False,False
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,False,True
47,True,True
48,False,True
49,False,False
