index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,True,True,True
3,False,False,False
4,False,True,True
5,True,False,False
6,True,False,True
7,False,False,False
8,False,False,True
9,True,False,False
10,False,False,False
11,True,False,False
12,False,False,True
13,False,False,False
14,False,False,True
15,False,False,False
16,True,False,False
17,False,True,False
18,False,False,True
19,False,False,False
20,False,True,False
21,True,False,False
22,False,False,True
23,False,False,False
24,False,False,True
25,False,False,False
26,False,False,False
27,False,False,True
28,False,True,False
29,True,False,False
30,False,False,True
31,False,False,False
32,False,False,False
33,False,False,False
34,False,False,False
35,True,True,False
36,False,False,True
37,False,False,False
38,True,False,False
39,False,False,False
40,False,True,False
41,False,False,False
