source,destination
18,72
23,123
10,43
20,84
3,13
20,93
2,11
21,101
15,60
21,110
21,119
18,74
7,28
11,44
17,69
3,15
20,86
20,95
5,21
21,103
15,62
21,112
8,32
7,30
11,46
17,71
0,0
20,88
20,97
5,23
21,105
21,114
8,34
10,40
20,81
6,27
20,90
0,2
4,18
20,99
21,107
12,49
16,65
21,116
10,42
14,58
20,83
3,12
20,92
13,53
21,100
1,5
21,109
16,67
21,118
18,73
9,37
17,68
3,14
20,85
20,94
13,55
21,102
15,61
1,7
19,77
21,111
18,75
9,39
22,121
11,45
6,24
20,87
20,96
21,104
15,63
19,79
2,8
21,113
8,33
23,122
11,47
20,80
6,26
20,89
4,17
21,106
16,64
2,10
8,35
12,51
14,57
20,82
4,19
13,52
1,4
5,20
16,66
9,36
14,59
7,29
13,54
17,70
1,6
19,76
5,22
9,38
22,120
7,31
0,1
20,98
19,78
12,48
21,115
6,25
10,41
4,16
20,91
0,3
2,9
21,108
12,50
21,117
14,56
