source,destination
6,82
5,65
3,22
3,31
2,11
4,39
4,48
6,75
10,100
5,67
3,24
2,4
3,33
4,41
6,68
4,50
6,77
7,85
10,102
5,60
0,0
3,26
3,35
4,43
6,70
5,53
7,87
5,62
3,28
1,3
4,36
4,45
8,91
5,55
5,64
3,21
3,30
4,38
2,13
4,47
8,93
10,99
5,57
5,66
3,23
2,6
4,40
2,15
9,94
10,101
6,79
5,59
3,25
2,8
2,17
9,96
6,72
5,52
10,103
6,81
5,61
1,2
2,10
8,90
2,19
9,98
6,74
5,54
6,83
5,63
3,32
2,12
8,92
4,49
6,76
5,56
7,84
9,97
2,5
3,34
2,14
4,42
6,69
4,51
6,78
5,58
7,86
0,1
3,27
2,7
2,16
4,44
9,95
6,71
6,80
7,88
3,20
3,29
2,9
8,89
2,18
4,37
4,46
6,73
