source,destination
4,55
6,82
4,64
10,98
5,65
5,74
0,5
3,40
12,107
1,15
3,49
1,24
4,57
2,32
7,83
10,100
5,67
5,76
0,7
3,42
1,17
4,59
2,34
7,85
5,69
0,0
0,9
3,44
1,19
4,52
2,27
4,61
2,36
7,87
11,103
5,71
0,2
1,21
8,91
4,54
2,29
2,38
11,105
5,73
12,106
1,14
1,23
3,51
2,31
10,99
5,66
5,75
13,110
1,16
1,25
9,94
2,33
10,101
6,79
5,68
5,77
0,11
1,18
8,88
3,46
2,26
9,96
2,35
11,102
6,81
4,63
5,70
0,4
1,20
3,39
8,90
3,48
2,28
2,37
4,56
11,104
0,6
1,13
3,41
8,92
12,108
3,50
2,30
4,58
7,84
13,109
0,8
3,43
9,93
6,78
4,60
7,86
13,111
0,1
0,10
3,45
9,95
4,53
6,80
4,62
5,72
0,3
0,12
8,89
3,47
9,97
1,22
