source,destination
7,72
3,13
6,48
8,82
4,30
6,57
5,37
9,90
7,65
7,74
3,6
3,15
2,4
4,23
6,50
4,32
6,59
5,39
9,92
7,67
11,101
3,8
0,0
3,17
4,25
6,52
6,61
7,69
10,95
3,10
3,19
4,27
1,3
6,54
7,62
7,71
5,46
10,97
3,12
4,20
4,29
6,56
8,84
7,64
7,73
11,98
3,14
4,22
6,49
4,31
6,58
8,77
8,86
7,66
7,75
5,41
11,100
3,7
3,16
4,24
6,51
4,33
8,79
8,88
5,34
7,68
5,43
10,94
3,9
3,18
4,26
1,2
8,81
5,36
5,45
10,96
3,11
4,28
8,83
5,38
9,91
5,47
4,21
8,76
2,5
8,85
6,60
5,40
9,93
11,99
0,1
8,78
6,53
8,87
5,42
7,70
8,80
6,55
5,35
8,89
5,44
7,63
