source,destination
21,71
24,106
11,51
22,81
24,115
0,5
3,22
25,123
4,30
23,98
25,132
5,37
12,52
18,65
22,74
24,108
19,66
22,83
3,24
6,41
23,91
25,125
4,32
23,100
1,8
5,39
17,62
22,76
0,0
22,85
3,26
23,93
24,122
23,102
1,10
25,139
10,49
22,78
0,2
22,87
23,95
23,104
1,12
2,20
8,45
11,50
22,80
3,21
24,117
4,29
23,97
15,59
18,64
25,134
9,46
22,73
22,82
3,23
6,40
23,90
13,55
24,110
24,119
4,31
23,99
1,7
16,60
25,127
2,15
25,136
20,69
22,75
22,84
3,25
24,112
23,92
24,121
4,33
23,101
1,9
25,129
2,17
5,34
25,138
21,70
22,77
24,114
7,43
23,94
0,4
1,11
25,131
2,19
5,36
8,44
14,57
24,107
24,116
4,28
15,58
0,6
25,124
1,13
25,133
5,38
12,53
22,72
24,109
23,89
13,54
23,105
19,67
24,118
25,126
2,14
25,135
20,68
9,47
10,48
17,63
24,111
0,1
22,86
24,120
3,27
16,61
25,128
2,16
23,103
25,137
22,79
7,42
24,113
0,3
22,88
23,96
25,130
2,18
5,35
14,56
