source,destination
13,33
21,135
4,9
19,110
24,170
18,99
5,10
22,145
12,25
24,179
22,154
17,85
15,60
11,23
14,40
23,162
20,120
14,49
13,26
16,77
13,35
21,137
19,112
18,92
3,6
24,172
18,101
22,147
17,78
2,4
9,19
15,53
17,87
15,62
14,42
23,164
10,20
14,51
16,70
6,13
20,122
13,28
21,130
13,37
19,105
21,139
19,114
18,94
0,0
22,149
17,80
15,55
23,157
15,64
14,44
23,166
16,72
7,14
13,30
21,132
19,107
19,116
22,151
17,82
15,57
1,3
23,159
23,168
16,65
16,74
20,129
19,109
22,144
12,24
22,153
15,59
23,161
24,181
16,67
16,76
19,111
5,11
22,146
22,155
15,52
18,103
24,174
15,61
23,163
17,89
16,69
20,124
19,104
19,113
3,7
21,141
22,148
18,96
15,54
23,156
24,176
15,63
23,165
10,21
16,71
20,117
14,46
20,126
19,106
13,32
19,115
21,134
4,8
24,169
18,98
15,56
1,2
23,158
24,178
8,17
17,84
11,22
14,39
16,73
20,119
14,48
20,128
19,108
13,34
21,136
22,143
18,91
24,171
18,100
15,58
24,180
9,18
16,66
17,86
16,75
14,41
20,121
14,50
6,12
13,27
13,36
21,138
18,93
24,173
18,102
17,79
2,5
17,88
16,68
14,43
20,123
13,29
21,131
13,38
21,140
18,95
24,175
0,1
22,150
17,81
17,90
14,45
23,167
20,125
7,15
13,31
21,133
21,142
18,97
24,177
8,16
22,152
17,83
23,160
20,118
14,47
20,127
