index,is_in_good_operators
0,False
1,False
2,True
3,True
4,False
5,False
6,False
7,True
8,False
9,False
10,False
11,False
12,True
13,False
14,True
15,True
16,False
17,True
18,True
19,True
20,False
21,True
22,True
23,False
24,True
25,False
26,True
27,True
28,True
29,True
30,True
31,False
32,False
33,False
34,True
35,False
36,False
37,False
38,True
39,True
40,False
41,False
42,False
43,True
44,False
45,False
46,False
47,False
48,True
49,True
50,True
51,True
52,True
53,True
54,True
55,False
56,True
57,False
58,True
59,False
60,True
61,False
62,True
63,False
64,True
65,False
66,False
67,False
68,False
69,False
70,False
71,False
72,True
73,False
74,True
75,False
76,True
77,False
78,False
79,True
80,False
81,True
82,False
83,True
84,False
85,False
86,False
87,False
88,True
89,False
90,False
91,False
92,True
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,False
104,True
105,False
106,False
107,False
108,True
109,False
110,False
111,False
112,False
113,False
114,False
115,False
116,False
117,False
118,False
119,False
120,False
121,True
122,False
123,False
124,False
125,True
126,False
127,False
128,False
129,False
130,False
131,False
132,False
133,True
134,False
135,False
136,True
137,False
138,False
139,False
140,True
141,False
142,False
143,False
144,False
145,True
146,False
147,False
148,True
149,False
150,False
151,False
152,False
153,False
154,True
155,False
156,False
157,False
158,True
159,False
160,True
161,False
162,False
163,False
164,False
165,True
166,False
167,True
168,False
169,True
170,False
171,True
172,False
173,True
174,False
175,True
176,False
177,False
178,False
179,False
180,False
181,False
182,False
183,True
184,False
185,True
186,False
187,True
188,True
189,False
190,True
191,False
192,True
193,False
194,False
195,False
196,False
197,False
198,False
199,False
200,False
201,True
202,False
203,False
204,False
205,True
206,False
207,False
208,False
209,False
210,False
211,False
212,False
213,False
214,False
215,False
216,False
217,True
218,False
219,False
220,False
221,True
222,False
223,False
224,False
225,False
226,False
227,False
228,False
229,False
230,True
231,False
232,False
233,False
234,True
235,False
236,False
237,False
238,False
239,False
240,False
241,False
242,True
243,False
244,False
245,False
246,False
247,True
248,False
249,False
250,False
251,True
252,False
253,False
254,True
255,False
256,False
257,False
258,False
259,False
260,False
261,True
262,True
263,False
264,False
265,False
266,True
267,False
268,False
269,False
270,False
271,False
272,False
273,True
