index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,False,True,True
3,True,False,False
4,False,True,True
5,True,False,False
6,False,True,True
7,True,False,False
8,True,False,True
9,False,False,False
10,False,False,True
11,True,False,False
12,False,False,True
13,True,False,False
14,False,False,False
15,True,False,False
16,False,False,True
17,False,False,False
18,False,False,False
19,False,True,False
20,False,False,False
21,False,False,False
22,True,False,True
23,False,False,False
24,False,False,True
25,False,False,False
26,False,False,False
27,False,False,False
28,False,False,False
29,False,False,False
30,False,True,True
31,True,False,False
32,False,False,True
33,True,False,False
34,False,False,False
35,False,False,False
36,False,False,False
37,False,True,False
38,False,False,False
39,False,False,True
40,False,False,True
41,False,False,True
42,False,False,False
43,True,False,False
44,False,False,False
45,False,False,False
46,False,False,False
47,False,True,False
48,False,False,True
49,False,False,False
50,True,False,False
51,False,False,False
52,False,False,False
53,False,False,False
54,False,False,False
55,False,True,False
56,False,False,True
57,False,False,False
58,False,False,False
59,False,False,False
60,False,False,False
61,True,True,False
62,False,False,False
63,False,False,False
64,False,False,True
65,False,False,False
66,False,False,False
67,False,False,False
68,False,False,False
69,False,False,False
70,True,False,False
71,False,True,False
