source,destination
10,34
7,26
13,42
16,47
34,83
2,11
20,56
23,61
10,36
27,70
3,15
30,75
37,90
1,8
21,57
11,37
28,71
0,0
3,17
15,46
5,23
18,51
14,44
32,80
35,85
22,60
39,94
0,2
3,19
12,40
33,81
19,54
40,95
4,20
1,5
26,68
2,13
8,29
10,35
17,50
38,91
24,64
1,7
31,78
6,24
3,16
15,45
1,9
25,65
9,32
22,59
11,38
29,74
13,41
3,18
0,4
18,52
36,88
2,10
20,55
7,27
27,69
16,48
34,84
37,89
2,12
8,28
33,82
17,49
23,62
40,96
4,21
24,63
1,6
30,76
5,22
2,14
8,30
14,43
32,79
21,58
9,33
31,77
38,92
39,93
28,72
0,1
12,39
9,31
29,73
35,86
6,25
19,53
0,3
36,87
25,66
26,67
