0,0,0
0,1,1
0,2,2
0,3,3
1,0,4
1,1,5
1,2,6
1,3,7
2,0,8
2,1,9
2,2,10
2,3,11
3,0,12
3,1,13
3,2,14
3,3,15
4,0,16
4,1,17
4,2,18
4,3,19
4,4,20
4,5,21
4,6,22
4,7,23
4,8,24
4,9,25
4,10,26
4,11,27
4,12,28
4,13,29
4,14,30
4,15,31
4,16,32
4,17,33
4,18,34
4,19,35
4,20,36
4,21,37
4,22,38
5,0,39
5,1,40
5,2,41
5,3,42
5,4,43
5,5,44
5,6,45
5,7,46
5,8,47
5,9,48
5,10,49
5,11,50
5,12,51
5,13,52
5,14,53
5,15,54
5,16,55
5,17,56
5,18,57
5,19,58
5,20,59
5,21,60
5,22,61
6,0,62
6,1,63
6,2,64
7,0,65
7,1,66
7,2,67
8,0,68
8,1,69
8,2,70
9,0,71
9,1,72
9,2,73
10,0,74
10,1,75
10,2,76
11,0,77
11,1,78
11,2,79
12,0,80
12,1,81
12,2,82
