source,destination
18,72
24,97
10,43
3,13
33,182
30,128
22,90
31,157
30,137
2,11
31,166
30,146
15,60
31,175
18,74
24,99
7,28
28,115
11,44
30,121
17,69
3,15
31,150
30,130
5,21
31,159
30,139
31,168
29,116
15,62
30,148
31,177
8,32
27,109
7,30
25,100
11,46
30,123
17,71
0,0
31,152
30,132
5,23
23,93
30,141
31,161
31,170
29,118
31,179
8,34
27,111
10,40
25,102
20,81
6,27
30,125
0,2
4,18
30,134
31,154
23,95
31,163
31,172
12,49
16,65
24,96
10,42
28,112
14,58
20,83
3,12
30,127
22,89
26,105
13,53
31,156
31,165
1,5
31,174
16,67
18,73
9,37
28,114
30,120
17,68
3,14
21,84
22,91
26,107
13,55
31,158
31,167
15,61
1,7
19,77
18,75
27,108
9,39
11,45
6,24
30,122
21,86
31,151
32,180
23,92
31,160
15,63
19,79
2,8
30,143
8,33
27,110
11,47
20,80
6,26
4,17
31,153
23,94
30,136
16,64
2,10
30,145
8,35
12,51
14,57
20,82
24,98
4,19
13,52
26,104
31,155
33,183
30,129
1,4
5,20
30,138
16,66
30,147
31,176
9,36
28,113
14,59
7,29
26,106
13,54
17,70
30,131
1,6
19,76
5,22
30,140
31,169
29,117
30,149
31,178
9,38
21,85
7,31
25,101
30,124
0,1
30,133
19,78
31,162
30,142
31,171
29,119
12,48
6,25
10,41
21,87
4,16
25,103
32,181
30,126
0,3
22,88
30,135
2,9
31,164
30,144
31,173
12,50
14,56
