index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,False,True,True
3,True,False,False
4,False,False,True
5,True,False,False
6,False,False,True
7,True,False,False
8,True,False,False
9,False,False,False
10,False,False,True
11,False,True,True
12,False,False,False
13,False,False,False
14,True,False,False
15,False,False,True
16,False,False,False
17,True,True,True
18,False,False,False
19,False,False,False
20,False,False,True
21,True,False,False
22,False,False,False
23,False,True,False
24,False,False,True
25,False,False,True
26,False,False,False
27,True,False,False
28,False,False,False
29,False,True,False
