source,destination
43,101
15,30
4,9
71,157
25,50
5,10
12,25
22,44
57,130
11,23
29,59
41,97
13,26
19,39
44,102
3,6
18,37
36,73
64,144
48,111
2,4
20,40
9,19
26,53
10,20
41,90
6,13
42,98
55,125
27,54
62,140
16,33
34,69
37,74
46,107
0,0
49,112
69,154
23,47
41,92
53,121
7,14
63,141
40,84
59,134
30,61
60,135
14,28
32,64
67,150
21,43
1,3
70,155
66,148
41,94
50,115
39,78
56,128
28,57
40,86
51,116
58,131
12,24
73,162
57,129
35,71
41,96
47,109
19,38
65,145
54,124
64,143
40,88
71,158
51,118
5,11
48,110
72,159
26,52
61,138
33,67
41,89
45,105
17,34
62,139
34,68
68,152
40,81
3,7
46,106
52,119
24,48
69,153
10,21
42,99
31,62
38,77
40,83
43,100
4,8
37,75
49,113
21,42
67,149
1,2
8,17
11,22
29,58
53,122
56,127
28,56
63,142
40,85
15,31
18,36
36,72
60,136
25,51
32,65
35,70
9,18
70,156
22,45
47,108
54,123
6,12
39,79
13,27
40,87
44,103
16,32
51,117
58,132
61,137
33,66
2,5
20,41
45,104
23,46
65,146
41,91
68,151
40,80
55,126
27,55
59,133
30,60
72,160
0,1
17,35
66,147
38,76
41,93
7,15
40,82
50,114
52,120
24,49
73,161
8,16
14,29
31,63
41,95
