index,is_relaxed,is_in_good_operators
0,False,True
1,False,True
2,False,True
3,False,True
4,True,True
5,False,False
6,False,True
7,False,False
8,False,True
9,True,True
10,False,False
11,False,True
12,False,False
13,False,True
14,False,True
15,False,True
16,False,True
17,False,True
18,False,False
19,False,False
20,False,True
21,True,True
22,False,True
23,False,False
24,False,False
25,False,True
26,True,True
27,False,True
28,False,False
29,False,False
30,False,False
31,False,False
32,False,False
33,False,False
34,True,True
35,False,True
36,False,False
37,False,True
38,False,True
39,False,False
40,False,False
41,False,False
42,False,True
43,False,True
44,False,False
45,False,True
46,False,False
47,False,False
48,False,True
49,True,True
50,False,True
51,False,True
52,False,False
53,False,False
54,False,False
55,True,True
56,False,True
57,False,False
58,False,False
59,False,False
60,False,False
61,False,True
62,False,False
63,False,True
64,False,True
65,False,False
66,False,False
67,False,False
68,False,False
69,False,False
70,False,False
71,True,True
72,False,False
73,False,False
74,False,True
75,False,False
76,False,True
77,False,True
78,False,False
79,False,False
80,False,False
81,False,False
82,False,False
83,True,True
84,False,False
85,False,False
86,False,False
87,False,False
88,False,False
89,False,False
90,False,False
91,False,False
92,False,False
93,False,False
94,False,False
95,False,False
96,False,False
97,False,False
98,False,False
99,False,False
100,False,False
101,False,False
102,False,False
103,False,False
104,False,False
105,False,False
106,False,False
107,False,False
108,False,False
109,False,True
110,False,False
111,False,True
112,False,False
113,True,True
114,False,False
115,False,True
116,False,True
117,False,True
118,False,True
119,False,False
120,False,False
121,False,False
122,False,False
123,False,False
124,False,False
125,False,False
126,False,False
127,False,False
128,False,False
129,False,False
130,False,False
131,False,False
132,False,False
133,False,False
134,True,True
135,False,True
136,False,False
137,False,False
138,False,True
139,False,False
140,False,False
141,False,True
142,False,True
143,False,True
144,False,True
145,True,True
146,False,False
147,False,False
148,False,False
149,False,False
150,False,False
151,False,False
152,False,False
153,False,False
154,False,False
155,False,False
156,False,False
157,False,False
158,False,False
159,False,False
160,False,False
161,False,False
162,False,False
163,False,False
164,False,False
165,False,False
166,False,False
167,False,False
168,False,False
169,False,False
170,True,True
171,False,False
172,False,False
173,False,False
174,False,False
175,True,True
176,False,False
177,False,False
178,False,False
179,False,False
180,False,False
181,False,False
182,False,True
183,False,False
184,False,False
185,False,False
186,False,False
187,False,False
188,False,False
189,False,False
190,False,False
191,False,False
192,False,False
193,False,False
194,False,False
195,False,False
196,False,False
197,False,False
198,False,False
199,False,False
200,False,True
201,False,False
202,False,True
203,False,True
204,False,False
205,False,False
206,False,False
207,False,True
208,False,True
209,False,True
210,False,False
211,False,False
212,False,False
213,False,False
214,True,True
215,False,False
216,False,False
217,False,True
218,False,False
219,False,True
220,False,True
221,False,False
222,False,False
223,False,False
224,False,True
225,False,True
226,False,False
227,False,True
228,False,False
229,False,False
230,False,True
231,False,False
232,False,True
233,False,True
234,True,True
235,False,False
236,False,False
237,False,False
238,False,True
239,False,False
240,False,False
241,False,False
242,True,True
243,False,True
244,False,False
245,False,True
246,False,True
247,False,False
248,False,False
249,False,False
250,False,False
251,True,True
252,False,False
253,False,False
254,False,False
255,False,False
256,False,True
257,False,False
258,False,True
259,False,True
260,False,False
261,False,False
262,False,False
263,False,False
264,False,False
265,False,False
266,False,False
267,False,False
268,False,False
269,False,False
270,False,False
271,False,False
272,False,False
273,False,False
274,False,False
275,False,False
276,False,False
277,False,False
278,False,False
279,False,False
280,False,False
281,False,False
282,False,False
283,False,False
284,False,False
285,False,False
286,False,False
287,False,False
288,False,False
289,False,False
290,False,False
291,False,True
292,False,False
293,False,True
294,False,False
295,False,False
296,True,True
297,False,True
298,False,True
299,False,True
300,False,True
301,False,False
302,True,True
303,False,False
304,False,False
305,False,False
306,False,False
307,False,False
308,False,False
309,False,False
310,False,False
311,False,False
312,False,False
313,False,False
314,True,True
315,False,False
316,False,False
317,False,True
318,False,False
319,False,False
320,False,True
321,False,False
322,False,False
323,False,True
324,False,True
325,False,True
326,False,True
327,False,False
328,False,False
329,False,False
330,False,False
331,False,False
332,False,False
333,False,False
334,False,False
335,False,False
336,False,False
337,False,False
338,False,False
339,False,False
340,False,False
341,False,False
342,False,False
343,False,False
344,True,True
345,False,False
346,False,False
347,False,False
348,False,False
349,False,False
350,False,False
351,False,False
352,False,False
353,False,False
354,False,False
355,False,False
356,False,False
357,False,False
358,False,False
359,False,False
360,False,False
361,False,False
362,False,False
363,True,True
364,False,True
365,False,False
366,False,False
367,False,False
368,False,False
369,False,False
370,False,False
371,False,False
372,False,False
373,False,False
374,False,False
375,False,False
376,False,False
377,False,False
378,True,True
379,False,False
380,False,False
381,False,False
382,False,True
383,False,False
384,False,True
385,True,True
386,False,False
387,False,False
388,False,False
389,False,True
390,False,True
391,False,True
