source,destination
21,126
26,204
15,30
18,81
4,9
15,39
24,170
17,67
16,47
5,10
22,145
12,25
24,179
25,187
20,111
11,23
23,162
13,26
21,128
26,197
26,206
15,32
18,83
19,103
17,60
3,6
22,138
17,69
16,49
24,172
22,147
25,180
2,4
9,19
23,155
25,189
20,113
23,164
10,20
21,121
6,13
26,199
21,130
18,76
26,208
18,85
24,165
17,62
22,140
17,71
0,0
22,149
25,182
20,106
23,157
20,115
21,123
7,14
26,201
19,98
18,78
21,132
27,221
18,87
28,238
17,64
22,142
17,73
14,28
23,150
20,108
1,3
16,56
23,159
27,214
19,91
21,125
27,223
26,203
19,100
18,80
28,231
18,89
22,135
17,66
22,144
12,24
15,41
23,152
23,161
16,58
27,216
26,196
19,93
26,205
19,102
18,82
28,233
22,137
15,34
17,68
5,11
22,146
15,43
24,174
23,154
16,51
23,163
25,191
27,218
26,198
19,95
18,75
19,104
28,226
28,235
17,61
3,7
22,139
15,36
22,148
24,167
24,176
23,156
16,53
25,184
10,21
27,211
25,193
27,220
20,117
19,97
26,200
28,228
28,237
21,134
4,8
22,141
15,38
24,169
16,46
24,178
1,2
16,55
23,158
8,17
25,186
27,213
20,110
11,22
19,90
27,222
20,119
19,99
28,230
21,127
28,239
15,31
22,143
15,40
24,171
23,151
16,48
16,57
9,18
25,188
27,215
20,112
19,92
28,229
27,224
19,101
21,120
6,12
13,27
21,129
28,232
22,136
15,33
18,84
26,207
15,42
24,173
17,70
16,50
23,153
16,59
2,5
25,181
20,105
25,190
27,217
20,114
19,94
28,225
21,122
28,234
21,131
18,77
26,209
15,35
18,86
15,44
17,63
24,166
24,175
17,72
0,1
16,52
25,183
27,210
20,107
25,192
27,219
20,116
19,96
28,227
21,124
7,15
26,202
21,133
18,79
28,236
15,37
18,88
24,168
17,65
16,45
24,177
17,74
16,54
8,16
14,29
25,185
27,212
20,109
23,160
25,194
20,118
26,195
