index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,False,False,True
3,True,False,False
4,True,True,True
5,False,False,False
6,False,False,True
7,True,False,False
8,False,False,True
9,True,False,False
10,False,False,True
11,True,False,False
12,False,False,True
13,False,False,True
14,False,True,False
15,False,False,False
16,False,False,False
17,True,False,False
18,False,False,True
19,False,True,False
20,False,False,False
21,False,False,True
22,True,False,False
23,False,False,False
24,False,False,True
25,True,False,False
26,False,False,False
27,False,True,False
28,False,False,True
29,False,False,False
30,False,False,True
31,False,False,False
32,False,False,False
33,True,False,False
34,False,True,True
35,False,False,False
36,False,False,True
37,False,False,False
38,False,False,False
39,False,False,False
40,True,False,False
41,False,True,False
