index,is_init,is_goal,is_simple_landmark
0,False,False,False
1,True,False,False
2,False,False,False
3,True,False,False
4,False,False,False
5,True,False,False
6,False,False,False
7,True,False,False
8,False,False,False
9,True,False,False
10,False,False,False
11,True,False,False
12,False,False,False
13,True,False,False
14,False,False,False
15,True,False,False
16,False,False,False
17,True,False,False
18,False,False,False
19,True,False,False
20,False,False,False
21,True,False,False
22,False,False,False
23,True,False,False
24,False,False,False
25,True,False,False
26,False,False,False
27,True,False,False
28,False,False,False
29,True,False,False
30,False,False,False
31,True,False,False
32,False,False,False
33,True,False,False
34,False,False,False
35,True,False,False
36,False,False,False
37,True,False,False
38,False,False,False
39,True,False,False
40,False,False,False
41,True,False,False
42,False,False,False
43,True,False,False
44,False,False,False
45,True,False,False
46,False,False,False
47,True,False,False
48,False,False,False
49,True,False,False
50,False,False,False
51,True,False,False
52,False,True,False
53,True,False,False
54,False,False,False
55,True,False,False
56,False,False,False
57,True,False,False
58,False,False,False
59,True,False,False
60,False,False,False
61,True,False,False
62,False,False,False
63,True,False,False
64,False,False,False
65,True,False,False
66,False,True,False
67,True,False,False
68,False,False,False
69,True,False,False
70,False,False,False
71,True,False,False
72,False,True,False
73,True,False,False
74,False,False,False
75,True,False,False
76,False,False,False
77,True,False,False
78,False,False,False
79,True,False,False
80,False,False,False
81,True,False,False
82,False,True,False
83,True,False,False
84,False,False,False
85,True,False,False
86,False,False,False
87,True,False,False
88,False,False,False
89,True,False,False
90,False,False,False
91,True,False,False
92,False,False,False
93,True,False,False
94,False,False,False
95,True,False,False
96,False,False,False
97,True,False,False
98,False,True,False
99,True,False,False
100,False,False,False
101,True,False,False
102,False,False,False
103,True,False,False
104,False,False,False
105,True,False,False
106,False,False,False
107,True,False,False
108,False,False,False
109,True,False,False
110,False,True,False
111,True,False,False
112,False,False,False
113,True,False,False
114,False,False,False
115,True,False,False
116,False,False,False
117,True,False,False
118,False,False,False
119,True,False,False
120,False,False,False
121,True,False,False
122,False,False,False
123,True,False,False
124,False,False,False
125,True,False,False
126,False,False,False
127,True,False,False
128,False,False,False
129,True,False,False
130,False,False,False
131,True,False,False
132,False,False,False
133,True,False,False
134,False,False,False
135,True,False,False
136,False,False,False
137,True,False,False
138,False,False,False
139,True,False,False
140,False,False,False
141,True,False,False
142,False,False,False
143,True,False,False
144,False,False,False
145,True,False,False
146,False,False,False
147,True,False,False
148,False,False,False
149,True,False,False
150,False,False,False
151,True,False,False
152,False,False,False
153,True,False,False
154,False,False,False
155,True,False,False
156,False,True,False
157,True,False,False
158,False,False,False
159,True,False,False
160,False,False,False
161,False,False,False
162,False,False,False
163,False,False,False
164,False,False,False
165,False,False,False
166,False,False,False
167,False,False,False
168,False,False,False
169,False,False,False
170,True,False,False
171,False,False,False
172,False,True,False
173,False,False,False
174,False,False,False
175,False,False,False
176,False,False,False
177,False,False,False
178,False,False,False
179,False,False,False
180,True,False,False
181,False,False,False
182,False,False,False
183,False,False,False
184,False,False,False
185,False,False,False
186,False,False,False
187,False,False,False
188,False,False,False
189,False,False,False
190,False,False,False
191,False,False,False
192,False,False,False
193,False,False,False
194,False,False,False
195,False,False,False
196,True,False,False
197,False,True,False
198,False,False,False
199,False,False,False
200,False,False,False
201,False,False,False
202,False,False,False
203,False,False,False
204,False,False,False
205,False,False,False
206,False,False,False
207,False,False,False
208,False,False,False
209,False,False,False
210,False,False,False
211,False,False,False
212,True,False,False
213,False,False,False
214,False,False,False
215,False,False,False
216,True,False,False
217,False,False,False
218,False,False,False
219,False,False,False
220,False,False,False
221,False,True,False
222,False,False,False
223,False,False,False
224,False,False,False
225,False,False,False
226,False,False,False
227,False,False,False
228,False,False,False
229,False,False,False
230,True,False,False
231,False,False,False
232,True,False,False
233,False,False,False
234,True,False,False
235,False,False,False
236,True,False,False
237,False,False,False
238,True,False,False
239,False,False,False
240,False,False,False
241,True,False,False
242,False,False,False
243,True,False,False
244,False,False,False
245,True,False,False
246,False,False,False
247,True,False,False
248,False,False,False
249,True,False,False
250,False,False,False
251,True,False,False
252,False,False,False
253,True,False,False
254,False,False,False
255,True,False,False
256,False,False,False
257,True,False,False
258,False,False,False
259,True,False,False
