index,is_relaxed,is_in_good_operators
0,True,True
1,False,False
2,False,True
3,False,False
4,False,False
5,False,False
6,True,True
7,False,True
8,True,True
9,True,True
10,False,False
11,False,False
12,False,False
13,True,True
14,False,False
15,False,False
16,False,False
17,False,False
18,True,True
19,False,True
20,False,True
21,False,False
22,False,False
23,False,False
24,False,False
25,False,False
26,False,False
27,False,False
28,False,False
29,False,False
30,False,False
31,False,False
32,False,False
33,False,False
34,False,False
35,True,True
36,False,False
37,False,False
38,False,False
39,False,True
40,False,True
41,True,True
42,False,False
43,True,True
44,False,False
45,False,False
46,True,True
47,False,False
48,False,False
49,False,False
