source,destination
6,18
30,110
28,85
24,72
31,120
21,64
26,78
31,129
6,20
17,51
30,112
19,57
16,49
12,36
9,28
14,42
24,74
31,122
26,80
7,21
30,105
17,53
22,67
30,114
19,59
31,143
0,0
15,46
12,38
14,44
8,25
25,75
10,31
30,98
7,23
30,107
31,136
30,116
3,10
31,145
0,2
5,16
1,3
25,77
30,91
30,100
30,109
23,70
30,118
31,138
31,147
1,5
18,55
30,93
11,34
30,102
31,131
30,111
31,140
29,88
4,13
27,81
2,6
24,73
30,95
20,60
31,124
30,104
17,52
22,66
31,133
30,113
31,142
13,39
15,45
12,37
27,83
2,8
8,24
10,30
30,97
20,62
31,126
30,106
22,68
31,135
30,115
3,9
31,144
13,41
15,47
28,84
8,26
25,76
30,90
10,32
31,119
30,99
21,63
31,128
30,108
6,19
23,69
31,137
3,11
31,146
16,48
1,4
18,54
28,86
9,27
30,92
31,121
11,33
30,101
21,65
26,79
31,130
23,71
29,87
31,139
4,12
31,148
19,58
16,50
18,56
9,29
14,43
30,94
31,123
11,35
30,103
31,132
7,22
31,141
4,14
0,1
5,15
27,82
2,7
30,96
20,61
31,125
31,134
13,40
30,117
5,17
30,89
31,127
