index,is_init,is_goal
0,False,False
1,False,True
2,False,False
3,True,False
4,False,False
5,False,False
6,False,False
7,False,False
8,False,False
9,False,False
10,False,True
11,False,False
12,True,False
13,False,False
14,False,False
15,False,False
16,False,False
17,False,False
18,True,False
19,False,False
20,False,False
21,False,True
22,False,False
23,False,False
24,False,False
25,False,False
26,False,False
27,True,False
28,False,False
29,False,False
30,False,False
31,False,False
32,False,False
33,False,False
34,True,False
35,False,False
36,False,False
37,False,False
38,True,False
39,False,False
40,False,False
41,True,False
42,False,False
43,False,False
44,True,False
45,False,False
46,False,False
47,False,False
48,False,False
49,False,False
50,False,False
51,True,False
52,False,False
53,False,False
54,False,False
55,True,False
56,False,False
57,False,False
58,False,False
59,False,False
60,False,False
61,True,False
62,False,False
63,False,False
64,True,False
65,False,False
66,False,False
67,False,False
68,False,False
69,True,False
70,False,False
71,False,False
