index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,True,True,True
3,False,False,False
4,False,False,True
5,True,False,False
6,True,True,False
7,False,False,False
8,False,False,False
9,True,False,False
10,False,False,True
11,False,True,False
12,False,False,False
13,True,False,True
14,False,False,False
15,False,False,True
16,False,False,False
17,False,False,True
18,False,False,False
19,True,True,False
20,False,False,True
21,False,False,False
22,True,False,False
23,False,True,False
24,False,False,False
25,False,False,True
26,False,False,False
27,False,False,False
28,False,False,False
29,True,True,False
