source,destination
6,18
32,101
33,155
32,110
31,93
33,127
28,85
24,72
21,64
26,78
33,148
6,20
32,103
33,157
17,51
19,57
16,49
32,124
12,36
9,28
14,42
24,74
33,141
26,80
32,96
33,150
7,21
17,53
22,67
19,59
0,0
15,46
32,126
12,38
14,44
8,25
25,75
33,143
10,31
33,152
7,23
3,10
0,2
5,16
32,119
1,3
33,136
25,77
30,91
33,145
33,154
23,70
32,112
32,121
1,5
33,129
18,55
33,138
33,147
33,156
11,34
29,88
32,105
4,13
32,114
31,94
32,123
27,81
33,131
2,6
24,73
33,140
33,149
20,60
33,158
17,52
22,66
32,98
13,39
32,107
32,116
15,45
32,125
12,37
27,83
33,133
2,8
8,24
33,142
10,30
33,151
20,62
22,68
32,100
3,9
13,41
32,109
32,118
15,47
28,84
33,135
8,26
25,76
30,90
33,144
10,32
33,153
21,63
6,19
23,69
32,102
3,11
32,111
32,120
16,48
1,4
33,128
18,54
28,86
33,137
9,27
30,92
33,146
11,33
21,65
26,79
32,95
23,71
29,87
32,104
4,12
32,113
19,58
32,122
16,50
33,130
18,56
33,139
9,29
14,43
11,35
32,97
7,22
29,89
32,106
4,14
32,115
0,1
5,15
27,82
33,132
2,7
20,61
32,99
13,40
32,108
32,117
5,17
33,134
