index,is_init,is_goal
0,False,False
1,False,False
2,True,False
3,False,False
4,False,False
5,False,False
6,False,False
7,False,False
8,False,False
9,True,False
10,False,False
11,False,False
12,True,False
13,False,False
14,False,False
15,False,False
16,False,False
17,False,False
18,False,False
19,True,False
20,False,False
21,False,False
22,False,False
23,False,False
24,True,False
25,False,False
26,False,False
27,False,False
28,True,False
29,False,False
30,False,False
31,True,False
32,False,False
33,False,False
34,False,False
35,False,False
36,False,False
37,True,False
38,False,False
39,False,False
40,False,False
41,True,False
42,False,False
43,False,False
44,False,False
45,False,False
46,False,False
47,False,False
48,False,False
49,True,False
50,True,False
51,False,False
52,False,False
53,False,False
54,False,False
55,False,False
56,False,False
57,False,False
58,True,False
59,False,False
60,False,False
61,False,False
62,False,False
63,False,False
64,False,False
65,False,False
66,True,False
67,False,False
68,False,False
69,False,False
70,False,False
71,True,False
72,False,False
73,False,False
74,False,False
75,False,False
76,True,False
77,False,False
78,False,False
79,False,False
80,False,False
81,False,False
82,True,False
83,False,False
84,True,False
85,False,False
86,True,False
87,False,False
88,True,False
89,False,False
90,True,False
91,False,False
92,True,False
93,False,True
94,True,False
95,False,False
96,True,False
97,False,False
98,True,False
99,False,False
100,True,False
101,False,True
102,True,False
103,False,False
104,True,False
105,False,False
106,True,False
107,False,True
108,True,False
109,True,False
110,False,False
111,True,False
112,False,False
113,True,False
114,False,False
115,True,False
116,False,False
117,True,False
118,False,False
119,True,False
120,False,False
121,True,False
122,False,False
123,True,False
124,False,False
125,True,False
126,False,False
127,False,False
128,True,False
129,False,False
130,True,False
131,False,False
132,True,False
133,False,False
134,True,False
135,False,False
136,True,False
137,False,False
138,True,False
139,False,False
140,True,False
141,False,False
142,True,False
143,False,False
144,True,False
145,False,False
146,True,False
