index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,True,False,True
3,False,False,False
4,False,False,True
5,True,False,False
6,False,False,True
7,True,False,False
8,False,True,True
9,True,False,False
10,False,False,True
11,True,False,False
12,False,False,True
13,True,False,False
14,False,False,True
15,True,False,False
16,False,False,True
17,False,False,False
18,False,False,False
19,False,False,False
20,False,False,False
21,False,False,True
22,True,False,False
23,False,True,False
24,False,False,True
25,False,True,False
26,False,False,False
27,False,False,True
28,False,False,False
29,True,False,False
30,False,False,False
31,False,False,False
32,False,False,True
33,False,False,False
34,False,True,True
35,True,False,False
36,False,False,False
37,False,False,False
38,False,False,False
39,False,False,False
40,False,False,True
41,False,False,False
42,False,False,False
43,False,False,True
44,False,True,False
45,False,False,False
46,False,False,False
47,True,False,False
48,False,False,True
49,False,False,False
50,True,False,False
51,False,False,False
52,False,False,False
53,False,True,True
54,False,False,False
55,False,False,False
56,False,False,True
57,False,False,False
58,False,False,False
59,True,False,False
60,False,False,False
61,False,False,False
62,False,True,False
63,False,False,True
64,False,False,True
65,False,False,False
66,False,False,False
67,False,True,False
68,False,False,False
69,True,False,False
70,False,False,False
71,False,False,False
