source,destination
1,31
2,39
4,73
2,48
0,5
5,83
0,14
9,99
1,24
1,33
2,41
7,92
11,108
2,50
0,7
5,85
0,16
1,26
8,96
1,35
2,43
7,94
2,52
0,0
0,9
12,111
1,19
1,28
8,98
1,37
10,104
3,65
2,45
2,54
0,2
4,82
13,115
1,21
1,30
3,58
2,38
10,106
3,67
2,47
2,56
4,75
1,23
1,32
9,101
3,60
2,40
11,107
3,69
2,49
4,77
5,84
0,18
1,25
8,95
14,117
3,62
2,42
11,109
6,88
4,70
4,79
0,11
8,97
10,103
3,64
6,90
4,72
4,81
13,114
0,4
0,13
1,20
3,57
3,66
4,74
7,91
0,6
0,15
9,100
3,59
1,34
3,68
4,76
7,93
2,51
0,8
5,86
0,17
12,110
9,102
14,116
1,27
3,61
1,36
6,87
2,44
4,78
2,53
0,1
0,10
12,112
14,118
1,29
3,63
6,89
4,71
10,105
2,46
4,80
13,113
2,55
0,3
0,12
1,22
