index,is_in_good_operators
0,True
1,True
2,False
3,True
4,True
5,False
6,False
7,False
8,False
9,True
10,True
11,True
12,True
13,False
14,True
15,True
16,True
17,True
18,True
19,False
20,True
21,False
22,False
23,False
24,False
25,False
26,False
27,False
28,False
29,False
30,False
31,False
32,False
33,True
34,True
35,True
36,True
37,False
38,True
39,True
40,True
41,True
42,True
43,False
44,True
45,True
46,True
47,True
48,True
49,False
50,True
51,True
52,True
53,True
54,True
55,False
56,True
57,True
58,True
59,True
60,True
61,False
62,True
63,True
64,True
65,True
66,True
67,True
68,True
69,False
70,True
71,True
72,True
73,True
74,False
75,True
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,False
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,True
96,True
97,True
98,True
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,False
