index,is_init,is_goal
0,True,False
1,False,False
2,False,False
3,False,False
4,False,False
5,False,False
6,False,False
7,True,False
8,True,False
9,False,False
10,False,False
11,False,False
12,True,False
13,False,False
14,False,True
15,False,False
16,True,False
17,False,True
18,False,False
19,False,False
20,True,False
21,False,False
22,False,True
23,False,False
24,True,False
25,False,True
26,False,False
27,False,False
28,True,False
29,False,False
30,False,True
31,False,False
32,False,False
33,False,True
34,False,False
35,True,False
36,False,False
37,False,False
38,False,True
39,True,False
40,True,False
41,False,True
42,False,False
43,False,False
44,True,False
45,False,False
46,False,True
47,False,False
48,False,False
49,False,False
50,False,False
51,False,False
52,False,False
53,False,False
54,False,False
55,False,False
56,False,False
57,True,False
58,False,False
59,False,False
60,False,False
61,True,False
62,False,False
63,False,False
64,False,False
65,False,False
66,False,False
67,False,False
68,False,False
69,False,False
70,False,False
71,False,False
72,False,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,False,False
79,False,False
80,True,False
81,False,False
82,False,False
83,False,False
84,False,False
85,True,False
86,True,False
87,False,False
88,False,False
89,True,False
