index,is_in_good_operators
0,False
1,True
2,True
3,False
4,False
5,True
6,False
7,True
8,True
9,False
10,False
11,False
12,True
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,True
23,True
24,True
25,False
26,True
27,False
28,True
29,False
30,True
31,False
32,False
33,False
34,False
35,False
36,False
37,True
38,False
39,True
40,False
41,False
42,False
43,True
44,False
45,False
46,True
47,False
48,False
49,False
50,True
51,False
52,False
53,False
54,False
55,False
56,True
57,False
58,False
59,True
60,False
61,True
62,False
63,True
64,False
65,False
66,False
67,False
68,True
69,False
70,False
71,False
72,False
73,True
74,True
75,False
76,False
77,True
78,False
79,False
80,False
81,True
82,False
83,False
84,False
85,False
86,False
87,True
88,False
89,False
90,True
91,False
