index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,True,False,True
3,False,False,False
4,False,True,True
5,True,False,False
6,True,False,True
7,False,False,False
8,False,False,True
9,True,False,False
10,False,False,True
11,True,False,False
12,False,False,True
13,False,False,False
14,False,False,True
15,True,False,False
16,False,False,False
17,False,True,False
18,False,False,True
19,False,False,False
20,False,True,False
21,False,False,False
22,True,False,False
23,False,False,True
24,False,False,True
25,False,False,False
26,True,False,False
27,False,True,False
28,False,False,False
29,False,False,True
30,False,False,True
31,False,False,False
32,False,False,False
33,False,False,False
34,False,True,True
35,True,False,False
36,False,False,True
37,False,True,False
38,False,False,False
39,False,False,False
40,False,False,False
41,True,False,False
