index,is_relaxed,is_in_good_operators
0,False,True
1,False,True
2,False,True
3,False,True
4,True,True
5,False,True
6,False,True
7,True,True
8,False,True
9,False,False
10,False,True
11,False,False
12,False,True
13,False,True
14,False,True
15,False,True
16,False,False
17,False,True
18,False,True
19,False,False
20,False,True
21,False,False
22,False,True
23,True,True
24,False,False
25,False,False
26,False,True
27,False,False
28,False,False
29,False,False
30,False,False
31,True,True
32,False,False
33,False,False
34,False,False
35,True,True
36,False,True
37,False,True
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,False,False
47,False,True
48,False,True
49,False,False
50,False,False
51,False,False
52,False,False
53,False,False
54,False,False
55,False,False
56,False,False
57,False,False
58,False,False
59,False,False
60,False,False
61,False,False
62,True,True
63,False,False
64,False,False
65,False,False
66,False,False
67,False,False
68,False,False
69,False,False
70,False,False
71,False,False
72,False,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,True,True
79,False,True
80,False,True
81,False,True
82,False,True
83,False,False
84,False,False
85,False,False
86,False,True
87,True,True
88,False,False
89,False,False
90,False,False
91,False,False
92,True,True
93,False,True
94,False,False
95,False,False
96,False,False
97,False,False
98,False,False
99,False,True
100,False,False
101,False,False
102,False,False
103,False,False
104,False,False
105,False,False
106,False,False
107,False,False
108,False,False
109,False,False
110,True,True
111,False,False
112,False,False
113,False,False
114,False,False
115,False,True
116,False,False
117,True,True
118,False,False
119,False,False
120,False,False
121,False,False
122,False,False
123,False,False
124,False,False
125,False,False
126,False,False
127,True,True
128,False,False
129,False,False
130,False,False
131,False,False
132,False,False
133,False,False
134,False,False
135,False,False
136,False,False
137,True,True
138,False,False
139,False,False
140,False,False
141,False,False
142,False,False
143,False,False
144,False,False
145,False,False
146,False,False
147,False,False
148,False,False
149,False,False
150,False,False
151,False,False
152,False,False
153,False,False
154,False,False
155,False,False
156,False,False
157,True,True
158,False,True
159,False,False
160,False,False
161,False,False
162,False,False
163,False,False
164,False,False
165,False,False
166,False,False
167,False,False
168,False,True
169,False,True
170,False,False
171,True,True
172,False,False
173,False,False
174,False,False
175,False,False
176,False,False
177,False,False
178,False,False
179,True,True
180,False,True
181,False,False
182,False,False
183,False,False
184,False,False
185,False,False
186,False,False
187,False,False
188,False,False
189,False,False
190,False,False
191,False,False
192,False,False
193,False,False
194,False,False
195,False,False
196,True,True
197,False,False
198,False,False
199,False,False
200,False,False
201,False,False
202,False,False
203,False,False
204,False,False
205,False,False
206,False,False
207,False,False
208,False,False
209,False,False
210,False,False
211,False,True
212,False,True
213,False,True
214,False,True
215,False,False
216,False,False
217,False,False
218,False,True
219,False,False
220,True,True
221,False,False
222,False,False
223,False,False
224,False,False
225,False,True
226,False,False
227,False,False
228,False,False
229,False,False
230,True,True
231,False,True
232,False,False
233,False,False
234,False,False
235,False,False
236,False,False
237,False,False
238,False,False
239,False,False
240,False,False
241,False,False
242,False,False
243,False,False
244,True,True
245,False,False
246,False,False
247,False,True
248,False,False
249,False,False
250,False,False
251,False,False
252,False,False
253,False,False
254,False,False
255,False,False
256,False,False
257,False,False
258,False,False
259,False,False
260,False,False
261,False,False
262,True,True
263,False,False
264,False,False
265,False,False
266,False,False
267,False,False
268,False,False
269,False,False
270,False,False
271,False,False
272,True,True
273,False,False
274,False,False
275,False,False
276,False,False
277,False,False
278,False,False
279,False,False
280,True,True
281,False,False
282,False,False
283,False,False
284,False,False
285,False,False
286,False,False
287,False,False
