index,is_relaxed,is_in_good_operators
0,False,False
1,False,True
2,True,True
3,False,False
4,False,True
5,False,True
6,False,True
7,False,True
8,True,True
9,False,True
10,False,False
11,False,False
12,False,True
13,False,True
14,False,True
15,False,True
16,False,False
17,False,False
18,False,False
19,False,False
20,False,False
21,False,False
22,False,False
23,False,False
24,True,True
25,False,False
26,False,False
27,False,True
28,False,False
29,False,False
30,False,False
31,False,False
32,False,False
33,False,False
34,False,False
35,False,False
36,True,True
37,True,True
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,True
46,False,False
47,False,True
48,False,True
49,False,True
50,False,True
51,False,False
52,False,True
53,False,False
54,False,False
55,False,False
56,False,False
57,False,False
58,False,False
59,False,True
60,False,False
61,False,False
62,True,True
63,False,True
64,False,False
65,False,False
66,False,True
67,False,False
68,False,False
69,False,False
70,False,True
71,True,True
72,False,False
73,False,False
74,False,False
75,False,False
76,True,True
77,False,False
78,False,False
79,False,False
80,False,False
81,False,False
82,False,False
83,False,True
84,True,True
85,False,False
86,False,False
87,False,False
88,False,False
89,False,False
90,False,False
91,False,False
92,False,False
93,False,False
94,False,False
95,True,True
96,False,False
97,False,False
98,False,False
99,False,False
100,False,False
101,False,True
102,False,False
103,True,True
104,False,True
105,False,True
106,False,True
107,False,False
108,True,True
109,False,False
110,False,False
111,False,False
112,False,False
113,False,False
114,False,False
115,False,True
116,False,False
117,False,False
118,False,False
119,False,True
120,True,True
121,False,False
122,False,True
123,False,False
124,False,False
125,True,True
126,False,True
127,False,False
