index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,True,False,True
3,False,False,False
4,False,False,True
5,True,False,False
6,False,False,True
7,True,False,False
8,False,False,True
9,True,False,False
10,False,False,True
11,True,False,False
12,False,True,True
13,True,False,False
14,False,False,True
15,True,False,False
16,False,False,True
17,True,False,False
18,False,False,True
19,False,False,False
20,False,False,False
21,False,False,False
22,False,False,False
23,True,False,False
24,False,False,True
25,False,False,False
26,False,True,False
27,False,False,True
28,False,False,False
29,False,True,False
30,False,False,False
31,False,False,False
32,False,False,False
33,True,False,False
34,False,False,False
35,False,False,True
36,False,False,True
37,False,False,False
38,False,False,False
39,False,False,True
40,False,False,False
41,False,False,False
42,False,False,False
43,False,True,False
44,True,False,False
45,False,False,False
46,False,True,False
47,False,False,False
48,True,False,False
49,False,False,True
50,False,False,False
51,False,False,False
52,False,False,False
53,False,False,False
54,False,False,True
55,False,False,False
56,False,False,False
57,False,False,False
58,True,True,False
59,False,False,False
60,False,False,False
61,False,False,True
62,False,False,False
63,False,False,True
64,False,False,False
65,True,True,False
66,False,False,False
67,False,False,False
68,False,False,True
69,False,False,False
70,False,False,False
71,False,False,False
72,False,False,False
73,False,False,False
74,False,False,True
75,False,False,False
76,False,False,False
77,False,True,False
78,False,False,False
79,True,False,False
80,False,False,False
81,False,False,True
82,False,False,False
83,False,False,False
84,False,False,False
85,False,False,False
86,True,False,False
87,False,False,False
88,False,True,False
89,False,False,False
