index,is_relaxed,is_in_good_operators
0,False,True
1,False,True
2,False,False
3,False,True
4,True,True
5,False,False
6,False,True
7,False,True
8,False,False
9,False,True
10,False,False
11,True,True
12,False,False
13,False,False
14,False,False
15,False,False
16,True,True
17,False,False
18,False,False
19,False,False
20,True,True
21,False,False
22,False,False
23,False,False
24,True,True
25,False,False
26,False,False
27,True,True
28,False,False
29,False,False
30,False,False
31,False,False
32,False,False
33,False,False
34,True,True
35,False,False
36,False,False
37,False,False
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,True,True
45,False,False
46,False,False
47,False,False
48,True,True
49,False,False
50,False,False
51,False,False
52,False,False
53,False,False
54,False,False
55,True,True
56,False,False
57,False,False
58,False,False
59,False,False
60,False,False
61,True,True
62,False,False
63,False,False
64,False,False
65,False,False
66,False,False
67,False,False
68,True,True
69,False,False
70,False,False
71,False,False
