index,is_in_good_operators
0,True
1,True
2,True
3,False
4,True
5,True
6,True
7,True
8,False
9,True
10,True
11,True
12,False
13,False
14,False
15,True
16,True
17,True
18,True
19,False
20,True
21,False
22,True
23,True
24,False
25,False
26,False
27,False
28,True
29,False
30,False
31,False
32,False
33,False
34,False
35,False
36,False
37,False
38,False
39,False
40,False
41,False
42,False
43,False
44,False
45,False
46,True
47,False
48,False
49,False
50,True
51,True
52,False
53,False
54,False
55,False
56,True
57,True
58,False
59,False
60,True
61,True
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,True
76,False
77,False
78,True
79,False
80,True
81,True
82,True
83,True
84,True
85,True
86,False
87,True
88,False
89,False
90,False
91,False
92,True
93,True
94,True
95,False
96,True
97,True
98,False
99,True
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,False
113,False
114,False
115,False
116,True
117,False
118,False
119,False
120,True
121,True
122,False
123,False
124,False
125,False
126,True
127,False
128,False
129,False
130,False
131,False
132,False
133,False
134,False
135,True
136,False
137,False
138,False
139,True
140,False
141,True
142,False
143,False
144,True
145,True
146,False
147,True
148,True
149,False
150,True
151,True
152,False
153,True
154,True
155,True
156,True
157,True
158,False
159,False
160,False
161,False
162,False
163,False
164,False
165,False
166,False
167,False
168,False
169,True
170,False
171,False
172,False
173,False
174,False
175,False
176,False
177,False
178,False
179,False
180,False
181,False
182,False
183,False
184,False
185,False
186,False
187,False
188,False
189,False
190,False
191,False
192,False
193,False
194,False
195,False
196,False
197,False
198,False
199,False
200,False
201,False
202,False
203,False
204,False
205,False
206,False
207,True
208,False
209,False
210,False
211,False
212,True
213,True
214,True
215,False
216,True
217,True
218,False
219,False
220,False
221,False
222,False
223,False
224,False
225,False
226,False
227,False
228,True
229,False
230,False
231,True
232,False
233,False
234,True
235,False
236,True
237,True
238,True
239,True
240,True
241,True
242,False
243,True
244,False
245,False
246,True
247,False
248,True
249,False
250,True
251,False
252,True
253,True
254,False
255,False
256,False
257,False
258,False
259,False
260,False
261,False
262,False
263,False
264,False
265,False
266,False
267,False
268,True
269,False
270,False
271,False
272,False
273,False
274,False
275,False
276,True
277,True
278,False
279,False
280,False
281,False
282,False
283,False
284,True
285,False
286,False
287,False
288,False
289,False
290,False
291,True
292,False
293,False
294,False
295,True
296,False
297,True
298,False
299,False
300,True
301,True
302,True
303,True
304,False
305,False
306,True
307,True
308,False
309,True
310,True
311,True
312,True
313,True
314,False
315,False
316,False
317,False
318,False
319,False
320,False
321,False
322,False
323,False
324,False
325,False
326,False
327,False
328,False
329,False
330,False
331,False
332,False
333,False
334,False
335,False
336,False
337,False
