index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,True,False,True
3,False,False,False
4,False,True,False
5,True,False,False
6,True,False,True
7,False,False,False
8,False,False,True
9,True,False,True
10,False,False,False
11,True,False,False
12,False,True,False
13,False,False,False
14,False,False,False
15,False,False,False
16,False,True,False
17,False,False,False
18,False,False,False
19,True,False,False
20,False,False,True
21,False,False,False
22,False,False,False
23,True,True,False
24,False,False,True
25,False,False,True
26,False,False,False
27,False,False,False
28,False,False,False
29,True,True,False
