source,destination
24,88
27,114
26,94
27,123
26,103
30,174
10,61
30,183
0,5
28,140
3,31
6,48
28,149
29,169
4,39
1,15
27,116
26,96
8,57
27,125
30,176
30,185
28,133
11,62
0,7
3,24
28,142
29,162
6,50
29,171
4,32
28,151
1,8
15,71
18,76
25,91
27,118
27,127
30,178
9,58
0,0
22,85
28,135
29,155
30,187
3,26
29,164
28,144
6,52
4,34
13,67
1,10
16,72
27,120
20,81
27,129
30,180
0,2
29,157
23,86
28,137
30,189
3,28
29,166
28,146
4,36
1,12
2,20
5,46
27,113
27,122
30,173
21,82
30,182
17,75
29,159
26,105
28,139
30,191
3,30
6,47
29,168
4,38
7,55
1,14
2,22
24,89
27,115
8,56
30,175
14,69
29,152
26,98
28,132
30,184
29,161
26,107
6,49
29,170
15,70
5,41
25,90
27,117
12,65
30,177
22,84
29,154
26,100
28,134
30,186
3,25
29,163
26,109
6,51
4,33
13,66
1,9
19,79
2,17
5,43
20,80
30,179
9,59
26,93
29,156
26,102
27,131
10,60
26,111
29,165
0,4
4,35
1,11
28,148
16,73
2,19
5,45
30,172
26,95
27,124
23,87
26,104
29,158
0,6
7,54
28,141
1,13
28,150
2,21
14,68
21,83
26,97
27,126
26,106
29,160
11,63
28,143
2,23
5,40
12,64
18,77
27,119
26,99
29,153
27,128
26,108
0,1
30,188
28,136
3,27
19,78
28,145
6,53
2,16
5,42
27,112
26,92
27,121
26,101
27,130
26,110
30,181
17,74
0,3
30,190
28,138
3,29
29,167
28,147
2,18
4,37
5,44
