source,destination
4,55
4,64
4,73
10,125
3,22
3,31
2,11
3,40
3,49
4,57
4,66
8,112
3,15
9,120
10,127
3,24
3,33
4,87
5,94
1,8
3,42
4,59
8,114
0,0
3,17
9,122
3,26
3,35
4,89
5,96
3,44
4,61
8,116
0,2
3,19
6,100
3,28
4,82
3,37
4,91
7,108
4,54
9,117
3,21
4,75
6,102
3,30
4,84
1,5
7,110
2,13
3,51
8,111
4,68
9,119
3,23
4,77
6,104
4,86
1,7
3,53
8,113
3,16
4,70
9,121
3,25
4,79
4,88
7,105
1,9
5,98
3,46
4,63
3,18
4,72
6,99
4,81
4,90
0,4
7,107
10,124
2,10
3,39
3,48
4,56
4,65
4,74
6,101
4,83
4,92
7,109
10,126
3,32
2,12
5,93
3,41
3,50
4,58
4,67
9,118
4,76
6,103
4,85
1,6
10,128
3,34
2,14
5,95
3,43
3,52
4,60
4,69
8,115
4,78
0,1
3,27
3,36
5,97
3,45
4,62
4,71
4,80
7,106
0,3
3,20
10,123
3,29
3,38
3,47
