source,destination
15,30
4,9
39,88
25,50
5,10
12,25
22,44
26,60
11,23
13,26
19,39
3,6
18,37
25,52
36,82
2,4
20,40
9,19
10,20
6,13
43,96
16,33
27,63
34,78
25,54
0,0
30,68
37,83
23,47
41,92
7,14
44,97
28,64
14,28
21,43
26,57
1,3
32,73
42,93
39,87
46,102
12,24
26,59
33,74
35,80
19,38
5,11
26,61
33,76
17,34
3,7
40,90
24,48
10,21
31,71
38,86
4,8
21,42
26,56
1,2
32,72
8,17
45,100
11,22
29,67
15,31
46,101
18,36
25,51
36,81
26,58
9,18
22,45
42,94
6,12
13,27
43,95
16,32
27,62
34,77
25,53
2,5
20,41
33,75
23,46
41,91
40,89
25,55
0,1
30,69
37,84
17,35
31,70
7,15
38,85
44,98
24,49
28,65
8,16
14,29
45,99
29,66
35,79
