source,destination
16,84
4,9
5,10
18,108
12,43
17,94
10,27
15,78
16,86
3,6
18,101
2,4
9,19
12,45
10,20
15,71
6,13
10,29
11,37
16,88
0,0
13,58
12,47
15,73
10,22
7,14
16,81
11,39
14,65
13,51
12,40
1,3
12,49
10,24
15,75
11,32
16,83
14,67
13,53
12,42
10,26
15,77
17,96
11,34
16,85
14,60
14,69
5,11
13,55
18,103
15,70
10,28
17,98
11,36
16,87
14,62
3,7
13,57
18,105
10,21
17,91
16,80
11,38
14,64
4,8
13,50
13,59
1,2
18,107
8,17
10,23
17,93
11,31
14,66
13,52
18,100
18,109
9,18
10,25
12,44
17,95
11,33
6,12
15,79
14,68
13,54
18,102
2,5
12,46
17,97
15,72
11,35
14,61
16,89
13,56
18,104
0,1
17,90
12,48
17,99
15,74
7,15
14,63
16,82
18,106
8,16
12,41
17,92
11,30
15,76
