index,is_relaxed,is_in_good_operators
0,False,True
1,False,False
2,False,False
3,False,True
4,False,True
5,False,False
6,False,False
7,False,False
8,False,True
9,True,True
10,False,True
11,False,True
12,True,True
13,False,False
14,False,True
15,False,True
16,False,False
17,False,False
18,True,True
19,False,True
20,False,False
21,False,True
22,False,True
23,False,False
24,False,True
25,False,True
26,False,False
27,True,True
28,False,False
29,False,True
30,False,False
31,False,True
32,False,False
33,False,False
34,False,False
35,False,False
36,False,False
37,False,False
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,True,True
46,False,False
47,False,False
48,False,False
49,False,False
50,False,False
51,False,False
52,False,False
53,False,False
54,False,False
55,False,False
56,False,False
57,False,True
58,True,True
59,False,False
60,False,False
61,False,True
62,False,False
63,False,True
64,False,False
65,False,False
66,False,False
67,False,True
68,False,False
69,False,True
70,False,False
71,False,True
72,False,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,False,False
79,False,False
80,False,False
81,False,False
82,False,False
83,False,False
84,False,False
85,False,False
86,False,False
87,True,True
88,False,False
89,False,False
90,False,False
91,False,False
92,False,False
93,False,False
94,False,False
95,False,False
96,False,False
97,False,False
98,False,False
99,False,False
100,False,False
101,False,False
102,False,False
103,False,True
104,False,False
105,True,True
106,False,True
107,False,False
108,False,True
109,False,False
110,False,False
111,False,True
112,False,False
113,False,False
114,True,True
115,False,False
116,False,False
117,False,False
118,False,False
119,False,False
120,False,False
121,False,False
122,True,True
123,False,True
124,False,False
125,False,True
126,False,True
127,False,False
128,False,False
129,False,True
130,False,True
131,False,False
132,False,True
133,False,False
134,False,True
135,False,True
136,False,False
137,False,False
138,True,True
139,False,True
140,False,False
141,False,True
142,False,False
143,False,False
144,False,False
145,True,True
146,False,False
147,False,False
148,False,False
149,False,False
150,False,False
151,False,False
152,False,False
153,False,False
154,False,False
155,False,False
156,False,False
157,False,False
158,False,False
159,False,False
160,True,True
161,False,False
162,False,False
163,True,True
164,False,False
165,False,False
166,False,False
167,False,True
168,False,False
169,False,False
170,False,False
171,False,True
172,False,False
173,False,True
174,False,False
175,False,False
176,False,False
177,False,True
178,False,False
179,True,True
180,False,False
181,False,True
182,False,False
183,False,False
184,False,False
185,False,False
186,False,False
187,False,False
188,False,False
189,False,False
190,False,False
191,False,False
192,False,False
193,False,False
194,True,True
195,False,False
196,False,False
197,False,False
198,False,False
199,False,False
200,False,False
201,False,False
202,False,False
203,False,False
204,False,False
205,False,False
206,False,False
207,True,True
208,False,False
209,False,False
210,False,False
211,False,False
212,True,True
213,False,True
214,False,False
215,False,False
216,False,True
217,False,False
218,False,True
219,False,False
220,False,False
221,False,True
222,False,False
223,False,False
224,False,False
225,False,False
226,False,False
227,False,False
228,False,False
229,False,False
230,False,False
231,False,False
232,False,False
233,False,True
234,False,False
235,False,True
236,False,True
237,False,False
238,True,True
239,False,True
240,False,True
241,False,False
